title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
Cobra Kai,series,50,"['Action & Adventure', 'Drama', 'Comedy']",139.903,"['Ralph Macchio', 'William Zabka', 'Courtney Henggeler', 'Xolo Mariduena', 'Tanner Buchanan', 'Mary Mouser', 'Jacob Bertrand', 'Peyton List', 'Vanessa Rubio', 'Thomas Ian Griffith']",,"['9/21/22', '9/21/22', '9/20/22', '9/20/22', '9/20/22', '9/19/22', '9/15/22', '9/15/22', '9/13/22', '9/13/22', '9/10/22', '9/10/22', '9/9/22', '7/2/22', '6/3/22', '6/3/22', '6/3/22', '6/3/22', '6/2/22', '6/2/22', '6/2/22', '6/2/22', '6/1/22', '6/1/22', '6/1/22', '5/31/22', '5/31/22', '5/31/22', '5/31/22', '5/30/22', '5/30/22', '5/30/22', '5/30/22', '5/30/22', '5/30/22', '5/30/22', '5/30/22', '5/29/22', '5/29/22', '5/29/22', '5/29/22', '5/28/22', '5/28/22', '5/28/22', '5/28/22', '5/28/22', '5/28/22', '5/28/22', '5/27/22', '5/27/22']",77169.0,2018-05-02
Hunter X Hunter (2011),series,1,"['Action & Adventure', 'Animation', 'Drama']",128.628,"['Megumi Han', 'Mariya Ise', 'Miyuki Sawashiro', 'Keiji Fujiwara', 'Daisuke Namikawa', 'Banjo Ginga', 'Rikiya Koyama', 'Chisa Yokoyama']",,['9/6/22'],46298.0,2011-10-02
JoJo's Bizarre Adventure,series,1,"['Animation', 'Action & Adventure', 'Sci-Fi & Fantasy']",92.04,"['Fairouz Ai', 'Daisuke Ono', 'Mutsumi Tamura', 'Mariya Ise', 'Atsumi Tanezaki', 'Yuuichirou Umehara', 'Daisuke Namikawa']",,['9/4/22'],45790.0,2012-10-06
Jackass,series,1,['Comedy'],13.882,"['Johnny Knoxville', 'Bam Margera', 'Chris Pontius', 'Dave England', 'Steve-O', 'Ehren McGhehey', 'Jason Acuña', 'Ryan Dunn', 'Brandon DiCamillo', 'Preston Lacy']",,['8/18/22'],1795.0,2000-04-12
LEGO Ninjago,series,1,"['Kids', 'Action & Adventure', 'Animation']",19.961,"['Deven Mack', 'Sam Vincent', 'Sabrina Pitre', 'Brian Drummond', 'Vincent Tong', 'Kelly Metzger', 'Michael Adamthwaite', 'Giles Panton', 'Brent Miller', 'Andrew Francis']",,['8/16/22'],212989.0,2023-06-01
The Office (U.S.),series,33,['Comedy'],167.655,"['Rainn Wilson', 'John Krasinski', 'Jenna Fischer', 'Ed Helms']",,"['8/16/22', '1/30/22', '1/26/22', '1/25/22', '1/24/22', '1/24/22', '1/18/22', '1/17/22', '1/15/22', '1/11/22', '1/11/22', '1/11/22', '1/10/22', '1/9/22', '1/9/22', '1/9/22', '1/9/22', '1/9/22', '1/8/22', '12/21/21', '12/21/21', '12/5/21', '12/5/21', '12/5/21', '11/29/21', '11/14/21', '11/13/21', '11/13/21', '11/13/21', '11/12/21', '11/12/21', '11/11/21', '11/11/21']",2316.0,2005-03-24
Shaun the Sheep,series,1,"['Animation', 'Comedy', 'Kids', 'Family']",51.697,['Justin Fletcher'],,['8/16/22'],3902.0,2007-03-05
Avatar,series,61,"['Animation', 'Action & Adventure', 'Comedy']",14.45,"['Zhang Jie', 'Ching Ip', 'Xinzhu Tong', 'Qiao Shiyu', 'Xin Teng', 'Xia Lei', 'Wei Chao', 'Jin Xian', 'Su Shangqing', 'Baomu Zhongyang']",,"['8/15/22', '8/15/22', '7/9/22', '6/18/22', '6/18/22', '6/18/22', '6/17/22', '6/17/22', '6/17/22', '6/17/22', '6/17/22', '6/17/22', '6/17/22', '6/17/22', '6/17/22', '6/17/22', '6/16/22', '6/16/22', '6/16/22', '6/16/22', '6/16/22', '6/16/22', '6/15/22', '6/15/22', '6/14/22', '6/14/22', '6/14/22', '6/14/22', '6/14/22', '6/14/22', '6/13/22', '6/13/22', '6/13/22', '6/12/22', '6/11/22', '6/11/22', '6/11/22', '6/11/22', '6/10/22', '6/9/22', '6/9/22', '6/9/22', '6/9/22', '6/9/22', '6/8/22', '6/7/22', '6/7/22', '6/6/22', '6/6/22', '5/27/22', '5/27/22', '5/26/22', '5/26/22', '5/25/22', '5/25/22', '5/25/22', '5/25/22', '5/25/22', '5/24/22', '5/24/22', '5/24/22']",71194.0,2017-04-07
Stranger Things,series,9,"['Drama', 'Sci-Fi & Fantasy', 'Mystery']",221.433,"['Millie Bobby Brown', 'Winona Ryder', 'David Harbour', 'Finn Wolfhard', 'Gaten Matarazzo', 'Caleb McLaughlin', 'Noah Schnapp', 'Sadie Sink', 'Natalia Dyer', 'Charlie Heaton']",,"['8/15/22', '7/30/19', '7/30/19', '7/30/19', '7/29/19', '7/29/19', '7/28/19', '7/28/19', '7/1/19']",66732.0,2016-07-15
Inazuma Eleven,series,4,"['Animation', 'Sci-Fi & Fantasy']",59.854,[],,"['8/15/22', '8/15/22', '8/15/22', '4/5/20']",42912.0,2008-10-05
