title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
Breaking Bad,series,,"['Drama', 'Crime']",,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Dean Norris', 'Jonathan Banks', 'Bob Odenkirk', 'Betsy Brandt', 'RJ Mitte']",,,1396.0,2008-01-20
Exorcist,series,,"['Animation', 'Comedy', 'Sci-Fi & Fantasy', 'Mystery', 'Drama', 'Action & Adventure']",,"['Jun Fukuyama', 'Keiji Fujiwara', 'Hiroshi Kamiya', 'Akeno Watanabe']",,,38464.0,2011-04-17
Prison Break,series,,"['Action & Adventure', 'Crime', 'Drama']",,"['Wentworth Miller', 'Dominic Purcell', 'Sarah Wayne Callies', 'Paul Adelstein', 'Rockmond Dunbar', 'Robert Knepper', 'Amaury Nolasco', 'Inbar Lavi', 'Augustus Prew', 'Mark Feuerstein']",,,2288.0,2005-08-29
SpongeBob SquarePants,series,,"['Animation', 'Comedy', 'Family', 'Sci-Fi & Fantasy']",,"['Tom Kenny', 'Bill Fagerbakke', 'Rodger Bumpass', 'Clancy Brown', 'Carolyn Lawrence', 'Mr. Lawrence', 'Mary Jo Catlett']",,,387.0,1999-05-01
The End of the F***ing World,series,,"['Comedy', 'Drama', 'Crime']",,"['Alex Lawther', 'Jessica Barden', 'Naomi Ackie', 'Josh Dylan']",,,74577.0,2017-10-24
Narcos,series,,"['Crime', 'Drama']",,"['Pedro Pascal', 'Matias Varela', 'Damián Alcázar', 'Francisco Denis', 'Alberto Ammann', 'Pêpê Rapazote', 'Arturo Castro', 'Michael Stahl-David', 'Matt Whelan', 'Andrea Londo']",,,63351.0,2015-08-28
House of Cards,series,,['Drama'],,"['Kevin Spacey', 'Robin Wright', 'Michael Kelly', 'Constance Zimmer', 'Patricia Clarkson', 'Derek Cecil', 'Boris McGiver', 'Lars Mikkelsen', 'Cody Fern', 'Diane Lane']",,,1425.0,2013-02-01
Johnny Test,series,,"['Animation', 'Comedy']",,"['James Arnold Taylor', 'Maryke Hendrikse', 'Ashleigh Ball', 'Lee Tockar', 'Ian James Corlett', 'Trevor Devall', 'Kathleen Barr', 'Scott McNeil', 'Bill Mondy']",,,1769.0,2005-09-17
How I Met Your Mother,series,,['Comedy'],,"['Josh Radnor', 'Neil Patrick Harris', 'Jason Segel', 'Alyson Hannigan', 'Cobie Smulders', 'Cristin Milioti']",,,1100.0,2005-09-19
Rick and Morty,series,,"['Animation', 'Comedy', 'Sci-Fi & Fantasy', 'Action & Adventure']",,"['Justin Roiland', 'Chris Parnell', 'Spencer Grammer', 'Sarah Chalke']",,,60625.0,2013-12-02
Basketball or Nothing,series,,['Documentary'],,"['Josiah Tsosie', 'Beau Natay', 'Raul Mendoza', 'Chance Harvey', 'Cooper Burbank']",,,91794.0,2019-08-02
Beyond Stranger Things,series,,['Talk'],,['Jim Rash'],,,74851.0,2017-10-27
Phineas and Ferb,series,,"['Animation', 'Comedy', 'Family', 'Sci-Fi & Fantasy']",,"['Vincent Martella', 'Thomas Brodie-Sangster', 'Ashley Tisdale', 'Dan Povenmire', 'Dee Bradley Baker', 'Alyson Stoner', 'Bobby Gaylor', 'Maulik Pancholy', 'Caroline Rhea', ""Richard O'Brien""]",,,1877.0,2007-08-17
