title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
Paradise PD,series,40,,,,,"['12/29/22', '12/29/22', '12/29/22', '12/29/22', '12/29/22', '12/29/22', '12/29/22', '12/29/22', '12/29/22', '12/28/22', '12/19/22', '7/10/21', '3/18/21', '3/18/21', '3/17/21', '3/17/21', '3/17/21', '3/16/21', '3/16/21', '3/16/21', '3/15/21', '3/15/21', '3/14/21', '3/14/21', '3/14/21', '3/14/21', '3/21/20', '3/20/20', '3/20/20', '3/18/20', '3/17/20', '3/17/20', '3/17/20', '3/17/20', '3/17/20', '3/16/20', '3/16/20', '3/16/20', '3/13/20', '3/13/20']",,
The IT Crowd,series,1,,,,,['12/29/22'],,
Wednesday,series,6,,,,,"['12/24/22', '12/24/22', '12/23/22', '12/23/22', '12/21/22', '12/19/22']",,
The Mole,series,1,,,,,['10/31/22'],,
High Water Stories,series,1,,,,,['10/19/22'],,
High Water,series,6,,,,,"['10/19/22', '10/19/22', '10/19/22', '10/19/22', '10/18/22', '10/18/22']",,
DAHMER,series,2,,,,,"['10/10/22', '10/10/22']",,
Demon Slayer,series,26,,,,,"['10/10/22', '9/5/22', '9/5/22', '9/5/22', '9/5/22', '9/5/22', '8/30/22', '8/25/22', '8/25/22', '8/25/22', '8/23/22', '8/21/22', '8/20/22', '8/20/22', '8/20/22', '8/19/22', '8/15/22', '8/15/22', '8/15/22', '8/15/22', '8/15/22', '8/14/22', '8/14/22', '8/13/22', '8/13/22', '8/11/22']",,
The Sandman,series,1,,,,,['9/25/22'],,
Sense8,series,1,,,,,['9/22/22'],,
Brooklyn Nine-Nine,series,1,,,,,['9/22/22'],,
iZombie,series,1,,,,,['9/22/22'],,
The OA,series,16,,,,,"['9/21/22', '9/21/22', '4/6/22', '4/6/22', '4/5/22', '4/4/22', '3/29/22', '3/28/22', '3/28/22', '3/28/22', '3/28/22', '3/27/22', '3/25/22', '3/25/22', '3/24/22', '3/22/22']",,
Lucifer,series,92,,,,,"['9/21/22', '9/13/21', '9/13/21', '9/11/21', '9/11/21', '9/11/21', '9/11/21', '9/10/21', '9/10/21', '9/10/21', '9/10/21', '9/10/21', '7/10/21', '7/10/21', '6/3/21', '6/3/21', '6/3/21', '6/3/21', '5/29/21', '5/28/21', '5/28/21', '5/24/21', '5/24/21', '5/24/21', '5/23/21', '5/23/21', '5/14/21', '5/5/21', '5/4/21', '5/3/21', '5/3/21', '5/1/21', '4/29/21', '4/29/21', '4/28/21', '4/28/21', '4/28/21', '4/28/21', '4/27/21', '4/27/21', '4/27/21', '4/27/21', '4/26/21', '4/26/21', '4/26/21', '4/26/21', '4/25/21', '4/25/21', '4/24/21', '4/24/21', '4/23/21', '4/22/21', '4/22/21', '4/22/21', '4/20/21', '4/20/21', '4/19/21', '4/19/21', '4/17/21', '4/17/21', '4/16/21', '4/15/21', '4/15/21', '4/14/21', '4/14/21', '4/14/21', '4/13/21', '4/13/21', '4/13/21', '4/12/21', '4/12/21', '4/12/21', '4/12/21', '4/11/21', '4/11/21', '4/11/21', '4/10/21', '4/10/21', '4/8/21', '4/7/21', '4/7/21', '4/7/21', '4/7/21', '4/6/21', '4/6/21', '4/6/21', '4/5/21', '4/5/21', '4/5/21', '4/4/21', '4/4/21', '4/3/21']",,
Cobra Kai,series,50,,,,,"['9/21/22', '9/21/22', '9/20/22', '9/20/22', '9/20/22', '9/19/22', '9/15/22', '9/15/22', '9/13/22', '9/13/22', '9/10/22', '9/10/22', '9/9/22', '7/2/22', '6/3/22', '6/3/22', '6/3/22', '6/3/22', '6/2/22', '6/2/22', '6/2/22', '6/2/22', '6/1/22', '6/1/22', '6/1/22', '5/31/22', '5/31/22', '5/31/22', '5/31/22', '5/30/22', '5/30/22', '5/30/22', '5/30/22', '5/30/22', '5/30/22', '5/30/22', '5/30/22', '5/29/22', '5/29/22', '5/29/22', '5/29/22', '5/28/22', '5/28/22', '5/28/22', '5/28/22', '5/28/22', '5/28/22', '5/28/22', '5/27/22', '5/27/22']",,
Hunter X Hunter (2011),series,1,,,,,['9/6/22'],,
JoJo's Bizarre Adventure,series,1,,,,,['9/4/22'],,
Jackass,series,1,,,,,['8/18/22'],,
LEGO Ninjago,series,1,,,,,['8/16/22'],,
The Office (U.S.),series,33,,,,,"['8/16/22', '1/30/22', '1/26/22', '1/25/22', '1/24/22', '1/24/22', '1/18/22', '1/17/22', '1/15/22', '1/11/22', '1/11/22', '1/11/22', '1/10/22', '1/9/22', '1/9/22', '1/9/22', '1/9/22', '1/9/22', '1/8/22', '12/21/21', '12/21/21', '12/5/21', '12/5/21', '12/5/21', '11/29/21', '11/14/21', '11/13/21', '11/13/21', '11/13/21', '11/12/21', '11/12/21', '11/11/21', '11/11/21']",,
Shaun the Sheep,series,1,,,,,['8/16/22'],,
Avatar,series,61,,,,,"['8/15/22', '8/15/22', '7/9/22', '6/18/22', '6/18/22', '6/18/22', '6/17/22', '6/17/22', '6/17/22', '6/17/22', '6/17/22', '6/17/22', '6/17/22', '6/17/22', '6/17/22', '6/17/22', '6/16/22', '6/16/22', '6/16/22', '6/16/22', '6/16/22', '6/16/22', '6/15/22', '6/15/22', '6/14/22', '6/14/22', '6/14/22', '6/14/22', '6/14/22', '6/14/22', '6/13/22', '6/13/22', '6/13/22', '6/12/22', '6/11/22', '6/11/22', '6/11/22', '6/11/22', '6/10/22', '6/9/22', '6/9/22', '6/9/22', '6/9/22', '6/9/22', '6/8/22', '6/7/22', '6/7/22', '6/6/22', '6/6/22', '5/27/22', '5/27/22', '5/26/22', '5/26/22', '5/25/22', '5/25/22', '5/25/22', '5/25/22', '5/25/22', '5/24/22', '5/24/22', '5/24/22']",,
Stranger Things,series,9,,,,,"['8/15/22', '7/30/19', '7/30/19', '7/30/19', '7/29/19', '7/29/19', '7/28/19', '7/28/19', '7/1/19']",,
Inazuma Eleven,series,4,,,,,"['8/15/22', '8/15/22', '8/15/22', '4/5/20']",,
Peaky Blinders,series,34,,,,,"['8/6/22', '8/6/22', '8/6/22', '8/6/22', '5/14/22', '5/14/22', '5/6/22', '5/1/22', '5/1/22', '5/1/22', '5/1/22', '4/30/22', '4/30/22', '4/24/22', '4/24/22', '4/24/22', '4/24/22', '4/23/22', '4/23/22', '4/23/22', '4/23/22', '4/22/22', '4/22/22', '4/18/22', '4/18/22', '4/18/22', '4/18/22', '4/18/22', '4/17/22', '4/16/22', '4/16/22', '4/16/22', '4/16/22', '4/16/22']",,
Violet Evergarden,series,1,,,,,['8/2/22'],,
The Good Doctor,series,3,,,,,"['7/31/22', '7/30/22', '7/29/22']",,
Ranczo,series,1,,,,,['7/30/22'],,
Control Z,series,17,,,,,"['7/11/22', '7/11/22', '12/27/21', '12/27/21', '12/27/21', '12/27/21', '12/26/21', '12/26/21', '12/25/21', '12/24/21', '12/24/21', '12/24/21', '12/22/21', '12/22/21', '12/21/21', '12/21/21', '12/21/21']",,
The Legend of Korra,series,18,,,,,"['6/30/22', '6/30/22', '6/27/22', '6/21/22', '6/21/22', '6/21/22', '6/20/22', '6/20/22', '6/20/22', '6/20/22', '6/20/22', '6/20/22', '6/20/22', '6/19/22', '6/19/22', '6/19/22', '6/19/22', '6/19/22']",,
Penguins of Madagascar,series,1,,,,,['6/7/22'],,
Russian Doll,series,1,,,,,['6/6/22'],,
Skins,series,13,,,,,"['5/24/22', '5/19/22', '5/17/22', '5/16/22', '5/13/22', '5/13/22', '5/13/22', '5/12/22', '5/11/22', '5/11/22', '5/9/22', '5/8/22', '5/8/22']",,
How to Get Away With Murder,series,2,,,,,"['5/20/22', '5/20/22']",,
Riverdale,series,1,,,,,['5/19/22'],,
Keeping Up with the Kardashians,series,1,,,,,['5/8/22'],,
Greenhouse Academy,series,40,,,,,"['5/7/22', '5/7/22', '5/7/22', '5/7/22', '5/6/22', '5/6/22', '5/6/22', '5/5/22', '5/5/22', '5/5/22', '5/5/22', '5/5/22', '5/5/22', '5/4/22', '5/4/22', '5/4/22', '5/4/22', '5/4/22', '5/4/22', '5/4/22', '5/3/22', '5/3/22', '5/3/22', '5/3/22', '5/3/22', '5/3/22', '5/3/22', '5/3/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22']",,
Travelers,series,3,,,,,"['4/24/22', '4/24/22', '4/23/22']",,
Dirty Lines,series,1,,,,,['4/14/22'],,
Biohackers,series,7,,,,,"['4/11/22', '4/11/22', '4/11/22', '4/11/22', '4/9/22', '4/9/22', '4/9/22']",,
Trinkets,series,2,,,,,"['4/7/22', '4/7/22']",,
Brand New Cherry Flavor,series,1,,,,,['3/15/22'],,
The 100,series,4,,,,,"['3/10/22', '3/10/22', '3/8/22', '3/8/22']",,
Superstore,series,2,,,,,"['3/8/22', '2/28/22']",,
Designated Survivor,series,29,,,,,"['2/21/22', '2/21/22', '2/11/22', '2/6/21', '2/5/21', '2/5/21', '2/4/21', '2/4/21', '2/4/21', '1/31/21', '1/30/21', '1/29/21', '1/29/21', '1/27/21', '1/27/21', '1/26/21', '1/26/21', '1/26/21', '1/26/21', '1/25/21', '1/24/21', '1/20/21', '1/19/21', '1/18/21', '1/18/21', '1/17/21', '1/12/21', '1/12/21', '12/18/20']",,
Suits,series,57,,,,,"['2/19/22', '2/19/22', '2/4/22', '2/3/22', '2/3/22', '2/3/22', '2/2/22', '1/31/22', '1/31/22', '1/31/22', '1/31/22', '1/30/22', '1/30/22', '9/2/21', '9/1/21', '9/1/21', '8/31/21', '8/25/21', '8/24/21', '8/24/21', '8/24/21', '8/24/21', '8/24/21', '8/21/21', '8/21/21', '8/21/21', '8/20/21', '8/18/21', '8/18/21', '8/18/21', '8/18/21', '8/17/21', '8/17/21', '8/17/21', '8/16/21', '8/16/21', '8/16/21', '8/16/21', '8/15/21', '8/14/21', '8/13/21', '8/13/21', '8/12/21', '8/12/21', '8/11/21', '8/10/21', '8/10/21', '8/10/21', '8/10/21', '8/10/21', '8/9/21', '8/9/21', '8/7/21', '8/7/21', '8/7/21', '8/6/21', '8/6/21']",,
Neymar,series,1,,,,,['2/11/22'],,
Raising Dion,series,1,,,,,['2/3/22'],,
BoJack Horseman,series,4,,,,,"['1/30/22', '1/24/22', '1/24/22', '1/23/22']",,
Pokémon The Series,series,1,,,,,['1/30/22'],,
Teen Wolf,series,27,,,,,"['1/8/22', '1/8/22', '1/7/22', '1/7/22', '1/7/22', '1/7/22', '1/6/22', '1/6/22', '1/6/22', '1/5/22', '1/5/22', '1/5/22', '1/4/22', '1/4/22', '1/3/22', '1/3/22', '1/3/22', '12/30/21', '12/29/21', '12/29/21', '12/28/21', '12/28/21', '12/28/21', '12/27/21', '12/27/21', '12/27/21', '12/27/21']",,
14 Peaks,series,1,,,,,['12/5/21'],,
Vikings,series,16,,,,,"['11/7/21', '11/7/21', '11/6/21', '11/5/21', '11/4/21', '11/4/21', '11/3/21', '11/3/21', '11/2/21', '10/31/21', '10/31/21', '10/31/21', '10/31/21', '10/31/21', '10/29/21', '10/29/21']",,
You,series,20,,,,,"['10/29/21', '10/25/21', '10/25/21', '10/22/21', '10/21/21', '7/10/21', '4/13/20', '4/13/20', '4/13/20', '4/12/20', '4/12/20', '4/12/20', '4/12/20', '4/11/20', '4/10/20', '4/10/20', '4/9/20', '4/9/20', '4/9/20', '4/7/20']",,
Orphan Black,series,5,,,,,"['10/21/21', '10/10/21', '10/10/21', '10/9/21', '10/9/21']",,
Total Drama,series,21,,,,,"['10/21/21', '10/20/21', '10/20/21', '10/20/21', '10/20/21', '10/18/21', '10/18/21', '10/17/21', '10/16/21', '10/15/21', '10/15/21', '10/15/21', '10/15/21', '10/15/21', '10/14/21', '10/14/21', '10/14/21', '10/14/21', '10/13/21', '10/13/21', '10/13/21']",,
Extracurricular,series,2,,,,,"['10/12/21', '10/12/21']",,
On My Block,series,29,,,,,"['10/7/21', '10/7/21', '6/25/20', '6/25/20', '6/25/20', '6/25/20', '6/25/20', '6/25/20', '6/25/20', '6/24/20', '6/24/20', '6/24/20', '6/24/20', '6/23/20', '6/23/20', '6/23/20', '6/23/20', '6/22/20', '6/22/20', '6/22/20', '6/22/20', '6/22/20', '6/22/20', '6/21/20', '6/21/20', '6/21/20', '6/19/20', '4/4/20', '4/4/20']",,
Mr. Robot,series,6,,,,,"['10/5/21', '10/5/21', '10/2/21', '9/28/21', '9/27/21', '9/27/21']",,
Squid Game,series,9,,,,,"['9/27/21', '9/27/21', '9/27/21', '9/27/21', '9/26/21', '9/26/21', '9/26/21', '9/24/21', '9/24/21']",,
Sex Education,series,16,,,,,"['9/24/21', '1/28/20', '1/28/20', '1/27/20', '1/27/20', '1/26/20', '1/26/20', '1/25/20', '1/23/20', '1/23/20', '1/22/20', '1/22/20', '1/21/20', '1/21/20', '1/20/20', '1/20/20']",,
Between,series,1,,,,,['8/14/21'],,
Always a Witch,series,18,,,,,"['8/5/21', '8/5/21', '8/4/21', '8/3/21', '8/2/21', '8/2/21', '8/1/21', '8/1/21', '8/1/21', '7/27/21', '7/27/21', '7/27/21', '7/26/21', '7/25/21', '7/25/21', '7/25/21', '7/24/21', '7/24/21']",,
Orange Is the New Black,series,16,,,,,"['7/24/21', '7/7/21', '6/19/21', '6/18/21', '6/17/21', '6/15/21', '6/14/21', '6/13/21', '6/9/21', '6/6/21', '6/6/21', '6/5/21', '6/5/21', '6/5/21', '6/5/21', '6/4/21']",,
Atypical,series,38,,,,,"['7/23/21', '7/23/21', '7/23/21', '7/23/21', '7/18/21', '7/18/21', '7/18/21', '7/17/21', '7/17/21', '7/16/21', '7/15/21', '7/14/21', '7/14/21', '7/14/21', '7/13/21', '7/12/21', '7/12/21', '7/12/21', '7/12/21', '7/12/21', '7/12/21', '7/12/21', '7/11/21', '7/11/21', '7/11/21', '7/11/21', '7/11/21', '7/11/21', '7/11/21', '7/10/21', '7/10/21', '7/10/21', '7/10/21', '7/10/21', '7/9/21', '7/8/21', '7/8/21', '7/8/21']",,
The Mire,series,7,,,,,"['7/18/21', '7/18/21', '7/18/21', '7/18/21', '7/18/21', '7/17/21', '7/17/21']",,
Messiah,series,10,,,,,"['7/10/21', '2/28/20', '1/18/20', '1/16/20', '1/15/20', '1/15/20', '1/15/20', '1/12/20', '1/12/20', '1/12/20']",,
Ozark,series,4,,,,,"['5/27/21', '5/25/21', '5/25/21', '5/24/21']",,
Sexify,series,8,,,,,"['5/22/21', '5/22/21', '5/22/21', '5/22/21', '5/18/21', '5/18/21', '5/18/21', '5/15/21']",,
To the Lake,series,8,,,,,"['4/18/21', '4/18/21', '4/18/21', '4/18/21', '4/18/21', '4/18/21', '4/18/21', '4/18/21']",,
Z Nation,series,3,,,,,"['4/1/21', '4/1/21', '3/31/21']",,
The Walking Dead,series,59,,,,,"['3/31/21', '3/31/21', '3/22/20', '7/24/19', '7/7/19', '7/7/19', '7/6/19', '7/6/19', '7/5/19', '7/5/19', '7/5/19', '7/3/19', '7/3/19', '7/3/19', '7/1/19', '7/1/19', '6/30/19', '6/29/19', '6/29/19', '6/29/19', '6/28/19', '6/28/19', '6/28/19', '6/28/19', '6/27/19', '6/25/19', '6/25/19', '6/25/19', '6/25/19', '6/25/19', '6/21/19', '6/19/19', '6/17/19', '6/17/19', '6/16/19', '6/16/19', '6/16/19', '6/14/19', '6/13/19', '6/12/19', '6/11/19', '6/4/19', '6/3/19', '5/31/19', '5/30/19', '5/30/19', '5/28/19', '5/26/19', '5/24/19', '5/23/19', '5/23/19', '5/21/19', '5/20/19', '5/20/19', '5/19/19', '5/19/19', '5/16/19', '5/16/19', '5/15/19']",,
El Chapo,series,9,,,,,"['3/24/21', '3/19/21', '3/18/21', '3/1/21', '2/28/21', '2/28/21', '2/24/21', '2/23/21', '2/22/21']",,
The Crown,series,1,,,,,['2/26/21'],,
Scream,series,14,,,,,"['2/15/21', '2/14/21', '2/14/21', '2/13/21', '2/12/21', '2/12/21', '2/11/21', '2/10/21', '2/10/21', '2/9/21', '2/8/21', '2/7/21', '2/7/21', '2/6/21']",,
Sluzby specjalne,series,1,,,,,['1/24/21'],,
Lupin,series,5,,,,,"['1/15/21', '1/15/21', '1/13/21', '1/12/21', '1/12/21']",,
3%,series,33,,,,,"['1/12/21', '1/9/21', '1/8/21', '1/8/21', '1/7/21', '1/4/21', '1/3/21', '1/2/21', '1/2/21', '1/2/21', '1/2/21', '1/1/21', '1/1/21', '12/31/20', '12/30/20', '12/30/20', '12/30/20', '12/28/20', '12/28/20', '12/28/20', '12/23/20', '12/23/20', '12/23/20', '12/21/20', '12/20/20', '12/20/20', '12/20/20', '12/20/20', '12/19/20', '12/19/20', '12/19/20', '12/18/20', '12/18/20']",,
The Queen's Gambit,series,7,,,,,"['1/5/21', '1/5/21', '1/5/21', '1/5/21', '1/5/21', '1/4/21', '1/4/21']",,
Barbarians,series,6,,,,,"['1/3/21', '1/3/21', '1/3/21', '1/3/21', '1/3/21', '1/3/21']",,
Slasher,series,24,,,,,"['1/3/21', '1/2/21', '1/1/21', '1/1/21', '1/1/21', '1/1/21', '12/31/20', '12/31/20', '2/26/20', '1/29/20', '1/29/20', '1/29/20', '1/29/20', '1/29/20', '1/28/20', '1/28/20', '1/28/20', '12/30/19', '12/30/19', '12/29/19', '12/29/19', '12/28/19', '12/28/19', '12/28/19']",,
American Pie Presents,series,1,,,,,['12/31/20'],,
We Are the Wave,series,6,,,,,"['12/18/20', '12/18/20', '8/10/20', '7/26/20', '7/26/20', '7/24/20']",,
Locked Up,series,59,,,,,"['11/26/20', '11/26/20', '11/26/20', '11/25/20', '11/24/20', '11/23/20', '11/22/20', '11/21/20', '11/21/20', '11/20/20', '11/19/20', '11/19/20', '11/19/20', '11/17/20', '11/17/20', '11/17/20', '11/16/20', '11/16/20', '11/15/20', '11/15/20', '11/15/20', '11/14/20', '11/14/20', '11/14/20', '11/13/20', '11/13/20', '11/13/20', '11/13/20', '11/12/20', '11/11/20', '11/11/20', '11/10/20', '11/10/20', '11/10/20', '11/10/20', '11/9/20', '11/9/20', '11/9/20', '11/9/20', '11/9/20', '11/8/20', '11/8/20', '11/8/20', '11/8/20', '11/7/20', '11/7/20', '11/7/20', '11/7/20', '11/7/20', '11/6/20', '11/6/20', '11/6/20', '11/6/20', '11/6/20', '11/6/20', '11/6/20', '11/6/20', '11/5/20', '11/5/20']",,
The Rain,series,20,,,,,"['9/26/20', '8/30/20', '8/23/20', '8/23/20', '8/22/20', '8/22/20', '8/22/20', '8/17/20', '8/17/20', '8/17/20', '8/16/20', '8/16/20', '8/15/20', '8/14/20', '8/13/20', '8/13/20', '8/13/20', '8/11/20', '8/11/20', '8/11/20']",,
Hoops,series,10,,,,,"['8/27/20', '8/27/20', '8/26/20', '8/26/20', '8/25/20', '8/24/20', '8/24/20', '8/24/20', '8/24/20', '8/23/20']",,
How to Sell Drugs Online (Fast),series,12,,,,,"['7/29/20', '7/29/20', '7/29/20', '7/29/20', '7/28/20', '7/28/20', '7/28/20', '7/28/20', '7/28/20', '7/27/20', '7/27/20', '7/26/20']",,
Minecraft,series,1,,,,,['7/28/20'],,
Dark,series,26,,,,,"['7/28/20', '7/21/20', '7/21/20', '7/21/20', '7/18/20', '7/18/20', '7/14/20', '7/14/20', '7/9/20', '7/9/20', '7/9/20', '7/8/20', '7/7/20', '7/7/20', '7/5/20', '7/5/20', '7/4/20', '7/4/20', '7/2/20', '7/2/20', '6/29/20', '6/29/20', '6/28/20', '6/26/20', '6/26/20', '6/26/20']",,
Modern Family,series,1,,,,,['7/15/20'],,
The Woods,series,6,,,,,"['6/21/20', '6/20/20', '6/20/20', '6/19/20', '6/19/20', '6/19/20']",,
Friends,series,3,,,,,"['6/21/20', '4/5/20', '12/19/19']",,
Elite,series,24,,,,,"['6/19/20', '3/15/20', '3/15/20', '3/15/20', '3/14/20', '3/14/20', '3/13/20', '3/13/20', '12/23/19', '12/22/19', '12/22/19', '12/22/19', '12/22/19', '12/22/19', '12/22/19', '12/22/19', '12/22/19', '12/22/19', '12/22/19', '12/21/19', '12/20/19', '12/20/19', '12/20/19', '12/20/19']",,
