title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
XOXO,film,1,"['Music', 'Drama']",10.247,"['Sarah Hyland', 'Hayley Kiyoko', ""Chris D'Elia"", 'Graham Phillips', 'LaMonica Garrett', 'Ryan Hansen', 'Ione Skye', 'Ian Anthony Dale', 'Brianne Howey', 'Medalion Rahimi']",1001,[['2018-09-23']],352492,2016-08-26
Sierra Burgess Is a Loser,film,4,"['Comedy', 'Drama', 'Romance']",17.809,"['Shannon Purser', 'Kristine Frøseth', 'Noah Centineo', 'RJ Cyler', 'Chrissy Metz', 'Alice Lee', 'Will Peltz', 'Mario Revolori', 'Joey Morgan', 'JT Neal']",5946,"[['2018-09-16', '2018-09-16', '2018-09-15', '2018-09-15']]",462919,2018-09-07
Clueless,film,2,"['Comedy', 'Romance']",27.364,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy', 'Paul Rudd', 'Donald Faison', 'Elisa Donovan', 'Breckin Meyer', 'Jeremy Sisto', 'Dan Hedaya', 'Aida Linares']",1930,"[['2018-08-24', '2018-08-23']]",9603,1995-07-19
Dude,film,1,['Comedy'],11.335,"['Lucy Hale', 'Kathryn Prescott', 'Alexandra Shipp', 'Awkwafina', 'Alex Wolff', 'Jerry MacKinnon', 'Michaela Watkins', 'Austin Abrams', 'Austin Butler', 'Brooke Smith']",666,[['2018-08-22']],399131,2018-04-20
SPF-18,film,2,"['Romance', 'Drama']",12.639,"['Carson Meyer', 'Noah Centineo', 'Bianca A. Santos', 'Jackson White', 'Molly Ringwald', 'Rosanna Arquette', 'Sean Russel Herman', 'Goldie Hawn', 'Keanu Reeves', 'Pamela Anderson']",1283,"[['2018-08-22', '2017-12-19']]",472838,2017-09-29
Chalk It Up,film,1,['Comedy'],7.079,"['Maddy Curley', 'John DeLuca', 'Nikki SooHoo', 'Drew Seeley', 'Julie Warner', 'Thomas Fowler', 'Nicholas Gonzalez', 'Tarah Paige', 'Rachele Brooke Smith', 'Krista Jasper']",494,[['2018-08-09']],385372,2016-09-13
Dance-Off,film,1,[],0.84,"['Valentin Gerez', 'Nicolas Keller Sarmiento', 'Santiago Cortés', 'Gabriela Carina Polli']",5361,[['2018-08-08']],1101443,2023-04-01
#realityhigh,film,2,['Comedy'],13.824,"['Nesta Cooper', 'Keith Powers', 'Alicia Sanz', 'Jake Borelli', 'Anne Winters', 'Patrick Davis Alarcón', 'Michael Provost', 'Ryan Malaty', 'Kate Walsh', 'John Michael Higgins']",1514,"[['2018-08-08', '2018-08-08']]",455656,2017-07-17
How It Ends,film,1,"['Science Fiction', 'Thriller', 'Mystery', 'Action', 'Adventure']",11.888,"['Theo James', 'Forest Whitaker', 'Kat Graham', 'Kerry Bishé', 'Grace Dove', ""Mark O'Brien"", 'Nicole Ari Parker', 'Nancy Sorel', 'Anett Rumanoczky', 'Cheryl Gensiorek']",6442,[['2018-08-06']],475210,2018-07-13
Baywatch,film,3,"['Comedy', 'Action', 'Crime']",50.17,"['Dwayne Johnson', 'Zac Efron', 'Priyanka Chopra Jonas', 'Alexandra Daddario', 'Jon Bass', 'Hannibal Buress', 'Kelly Rohrbach', 'Ilfenesh Hadera', 'Yahya Abdul-Mateen II', 'Oscar Nunez']",6745,"[['2018-08-03', '2018-08-02', '2018-08-02']]",339846,2017-05-25
Central Intelligence,film,5,"['Action', 'Comedy', 'Crime', 'Mystery']",31.33,"['Kevin Hart', 'Dwayne Johnson', 'Amy Ryan', 'Aaron Paul', 'Danielle Nicolet', 'Ryan Hansen', 'Timothy John Smith', 'Megan Park', 'Thomas Kretschmann', 'Jason Bateman']",6156,"[['2018-08-02', '2018-08-02', '2018-08-02', '2018-08-02', '2018-08-01']]",302699,2016-06-15
Catch Me If You Can,film,1,"['Drama', 'Crime']",39.585,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken', 'Martin Sheen', 'Nathalie Baye', 'Amy Adams', 'James Brolin', 'Jennifer Garner', 'Chris Ellis', 'Brian Howe']",2871,[['2018-07-24']],640,2002-12-16
She's All That,film,6,"['Comedy', 'Romance']",16.666,"['Freddie Prinze Jr.', 'Rachael Leigh Cook', 'Paul Walker', ""Jodi Lyn O'Keefe"", 'Kevin Pollak', 'Anna Paquin', 'Kieran Culkin', 'Elden Henson', 'Matthew Lillard', 'Usher']",5491,"[['2018-07-03', '2018-07-03', '2018-07-03', '2018-07-03', '2018-07-02', '2018-07-02']]",10314,1999-01-29
Date with Love,film,1,"['Comedy', 'TV Movie', 'Romance']",5.795,"['Shenae Grimes-Beech', 'Andrew W. Walker', 'Bailee Madison', 'Quinn Lord', 'Andrea Brooks', 'Caroline Cave', 'Raugi Yu', 'Milli Wilkinson', 'Larissa Albuquerque', 'Michelle Creber']",1197,[['2018-06-28']],393656,2016-05-21
How to Lose a Guy in 10 Days,film,5,"['Comedy', 'Romance']",20.732,"['Kate Hudson', 'Matthew McConaughey', 'Kathryn Hahn', 'Annie Parisse', 'Adam Goldberg', 'Thomas Lennon', 'Michael Michele', 'Shalom Harlow', 'Robert Klein', 'Bebe Neuwirth']",6662,"[['2018-06-27', '2018-06-27', '2018-06-27', '2018-06-27', '2018-06-27']]",9919,2003-02-07
Step Sisters,film,1,['Comedy'],11.371,"['Eden Sher', 'Alessandra Torresani', 'Megalyn Echikunwoke', 'Gage Golightly', 'Matt McGorry', 'Naturi Naughton', 'Lyndon Smith', 'Shay Davila', 'Robert Curtis Brown', 'Hannah Jelinovic']",262,[['2018-06-27']],431072,2018-01-19
Set It Up,film,3,"['Romance', 'Comedy']",14.653,"['Zoey Deutch', 'Glen Powell', 'Lucy Liu', 'Taye Diggs', 'Meredith Hagner', 'Pete Davidson', 'Jon Rudnitsky', 'Joan Smalls', 'Tituss Burgess', 'Noah Robbins']",6016,"[['2018-06-19', '2018-06-19', '2018-06-18']]",384677,2018-06-15
Save the Last Dance,film,1,"['Drama', 'Family', 'Romance', 'Music']",14.844,"['Julia Stiles', 'Sean Patrick Thomas', 'Kerry Washington', 'Fredro Starr', 'Terry Kinney', 'Bianca Lawson', 'Vince Green', 'Garland Whitt', 'Elisabeth Oas', 'Artel Great']",549,[['2018-06-14']],9816,2001-01-12
Footloose,film,3,"['Drama', 'Music', 'Romance']",21.137,"['Dennis Quaid', 'Kenny Wormald', 'Julianne Hough', 'Andie MacDowell', 'Miles Teller', 'Ray McKinnon', 'Patrick John Flueger', 'Kim Dickens', 'Ziah Colon', ""Ser'Darius Blain""]",6573,"[['2018-06-13', '2018-06-12', '2018-06-12']]",68817,2011-10-06
Be Somebody,film,1,"['Drama', 'Comedy', 'Romance']",8.121,"['Matthew Espinosa', 'Sarah Jeffery', 'Allison Paige', 'Caitlin Keats', 'LaMonica Garrett', 'Mahaley Patel', 'Liana Ramirez', 'Trista Nabors', 'Mason McCulley']",5073,[['2018-06-12']],397517,2016-06-10
Alex Strangelove,film,2,"['Comedy', 'Drama']",9.623,"['Daniel Doheny', 'Madeline Weinstein', 'Antonio Marziale', 'Daniel Zolghadri', 'Nik Dodani', 'Fred Hechinger', 'Dante Costabile', 'Annie Q.', 'Kathryn Erbe', 'Joanna Adler']",783,"[['2018-06-12', '2018-06-12']]",511785,2018-04-16
No Strings Attached,film,5,"['Comedy', 'Romance']",38.1,"['Natalie Portman', 'Ashton Kutcher', 'Kevin Kline', 'Cary Elwes', 'Greta Gerwig', 'Lake Bell', 'Olivia Thirlby', 'Ludacris', 'Jake Johnson', 'Mindy Kaling']",6314,"[['2018-06-03', '2018-06-03', '2018-06-03', '2018-06-02', '2018-06-02']]",41630,2011-01-21
Into the Woods,film,1,"['Fantasy', 'Comedy']",17.108,"['James Corden', 'Emily Blunt', 'Meryl Streep', 'Anna Kendrick', 'Daniel Huttlestone', 'Lilla Crawford', 'Mackenzie Mauzy', 'Tracey Ullman', 'Chris Pine', 'Billy Magnussen']",7215,[['2018-06-03']],224141,2014-12-24
Chernobyl Diaries,film,1,"['Horror', 'Thriller']",17.863,"['Jesse McCartney', 'Devin Kelley', 'Jonathan Sadowski', 'Olivia Taylor Dudley', 'Ingrid Bolsø Berdal', 'Nathan Phillips', 'Alex Feldman', 'Milutin Milošević', 'Kristof Konrad', 'Pasha D. Lychnikoff']",4826,[['2018-03-24']],93856,2012-05-24
Nerve,film,1,"['Mystery', 'Adventure', 'Crime']",16.406,"['Emma Roberts', 'Dave Franco', 'Emily Meade', 'Miles Heizer', 'Juliette Lewis', 'Kimiko Glenn', 'Machine Gun Kelly', 'Marc John Jefferies', 'Samira Wiley', 'Brian Marc']",5363,[['2018-02-12']],328387,2016-06-27
The Host,film,4,"['Action', 'Adventure', 'Science Fiction']",23.427,"['Saoirse Ronan', 'Diane Kruger', 'Max Irons', 'Jake Abel', 'William Hurt', 'Frances Fisher', 'Chandler Canterbury', 'Boyd Holbrook', 'Stephen Rider', 'Alex Russell']",6935,"[['2018-02-12', '2018-02-12', '2018-02-12', '2018-02-12']]",72710,2013-03-22
