,Date,Artist,Title,Time
123,2023-04-12 07:14,JP Saxe,If the World Was Ending (feat. Julia Michaels),1058
124,2023-04-12 07:14,Kacper HTA,Zbrodnia i kara,182247
125,2023-04-12 07:11,The Chainsmokers,Takeaway (feat. Lennon Stella) - Pilton Remix,213253
126,2023-04-12 07:07,sanah,najlepszy dzień w moim życiu,23
127,2023-04-12 07:07,Sasha Alex Sloan,Dancing With Your Ghost,1105
128,2023-04-12 07:07,Aymi,W mojej bluzie,114899
129,2023-04-12 07:05,Jaymes Young,Infinity,237720
130,2023-04-12 07:01,Kygo,Stargazing,236853
131,2023-04-12 06:57,Ruth B.,Dandelions - slowed + reverb,268717
132,2023-04-12 06:49,Duncan Laurence,Arcade (feat. FLETCHER),187453
133,2023-04-12 06:46,obi,Presja,168602
134,2023-04-12 06:43,Bryan,Travis,118378
135,2023-04-12 06:42,Veason,Skarbie,187384
136,2023-04-12 06:39,Bryan,Ile dałbym,127389
137,2023-04-12 06:36,Juice WRLD,Lucid Dreams,239835
138,2023-04-12 06:32,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,239000
139,2023-04-12 06:28,Robin Hustin,Light It Up,185390
140,2023-04-12 06:25,Alex & Sierra,Little Do You Know,185200
141,2023-04-12 06:22,Sasha Alex Sloan,Older,191001
142,2023-04-12 06:19,Doli,spadająca gwiazda,143227
143,2023-04-12 06:17,Bryan,Na zawsze,186812
144,2023-04-12 06:14,Cheriimoya,"Living Life, In The Night",122517
145,2023-04-12 06:12,Jacob Lee,Silhouette,301803
146,2023-04-12 06:07,Jubël,4AM (feat. HOLT.),3874
147,2023-04-12 06:07,SAPPHIRE,Unity (Acoustic),1094
148,2023-04-12 06:07,Bad Meets Evil,Take From Me,0
149,2023-04-12 06:07,Białas,"Mali ludzie, wielkie nieba",32582
150,2023-04-12 06:07,Ola Olszewska,Czy To Nadal Ja,201461
151,2023-04-12 06:07,The Walkers,Unity,1199
152,2023-04-12 06:07,John Mamann,Love Life - French Version,1046
153,2023-04-12 06:07,Eminem,No Apologies,0
154,2023-04-12 06:07,sanah,Hymn (J. Słowacki),1190
155,2023-04-12 06:03,He Is We,I Wouldn't Mind,200059
156,2023-04-12 06:01,Bad Meets Evil,Take From Me,0
157,2023-04-12 06:01,Eminem,No Apologies,0
158,2023-04-12 06:00,JP Saxe,If the World Was Ending (feat. Julia Michaels),3968
159,2023-04-12 06:00,Bad Meets Evil,Take From Me,0
160,2023-04-12 06:00,Eminem,No Apologies,0
161,2023-04-11 23:16,Bad Meets Evil,Take From Me,0
162,2023-04-11 23:16,Eminem,No Apologies,1106
163,2023-04-11 23:16,Eminem,No Apologies,0
164,2023-04-11 23:16,NF,Dreams,0
165,2023-04-11 23:16,Vito Bambino,Mustang,0
166,2023-04-11 23:16,NF,My Life,0
167,2023-04-11 22:47,Kacper HTA,Zbrodnia i kara,150004
168,2023-04-11 22:45,The Chainsmokers,Takeaway (feat. Lennon Stella) - Pilton Remix,213253
169,2023-04-11 22:41,sanah,najlepszy dzień w moim życiu,251500
170,2023-04-11 22:37,Sasha Alex Sloan,Dancing With Your Ghost,197732
171,2023-04-11 22:34,Aymi,W mojej bluzie,139019
172,2023-04-11 22:32,Jaymes Young,Infinity,237720
173,2023-04-11 22:28,Kygo,Stargazing,236853
174,2023-04-11 22:24,Ruth B.,Dandelions - slowed + reverb,268717
175,2023-04-11 22:20,Duncan Laurence,Arcade (feat. FLETCHER),187453
176,2023-04-11 22:17,obi,Presja,168602
177,2023-04-11 22:14,Bryan,Travis,118378
178,2023-04-11 22:12,Veason,Skarbie,187384
179,2023-04-11 22:09,Bryan,Ile dałbym,127389
180,2023-04-11 22:07,Juice WRLD,Lucid Dreams,239835
181,2023-04-11 22:03,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,239000
182,2023-04-11 21:59,Robin Hustin,Light It Up,185390
183,2023-04-11 21:56,Alex & Sierra,Little Do You Know,185200
184,2023-04-11 21:53,Sasha Alex Sloan,Older,191001
185,2023-04-11 21:50,Doli,spadająca gwiazda,143227
186,2023-04-11 21:48,Bryan,Na zawsze,186812
187,2023-04-11 21:45,Cheriimoya,"Living Life, In The Night",122517
188,2023-04-11 21:43,Jacob Lee,Silhouette,301803
189,2023-04-11 21:38,The Walkers,Unity,204533
190,2023-04-11 21:35,John Mamann,Love Life - French Version,173104
191,2023-04-11 21:32,SAPPHIRE,Unity (Acoustic),180521
192,2023-04-11 21:29,sanah,Hymn (J. Słowacki),252000
193,2023-04-11 21:25,Jubël,4AM (feat. HOLT.),194195
194,2023-04-11 21:22,Białas,"Mali ludzie, wielkie nieba",239995
195,2023-04-11 21:18,Ola Olszewska,Czy To Nadal Ja,201461
196,2023-04-11 21:15,He Is We,I Wouldn't Mind,200059
197,2023-04-11 21:11,JP Saxe,If the World Was Ending (feat. Julia Michaels),208687
198,2023-04-11 21:08,Kacper HTA,Zbrodnia i kara,271926
199,2023-04-11 21:04,The Chainsmokers,Takeaway (feat. Lennon Stella) - Pilton Remix,213253
200,2023-04-11 21:00,sanah,najlepszy dzień w moim życiu,251500
201,2023-04-11 20:56,Sasha Alex Sloan,Dancing With Your Ghost,197732
202,2023-04-11 20:53,Aymi,W mojej bluzie,139019
203,2023-04-11 20:51,Jaymes Young,Infinity,237720
204,2023-04-11 20:47,Kygo,Stargazing,236853
205,2023-04-11 20:43,Ruth B.,Dandelions - slowed + reverb,268717
206,2023-04-11 20:39,Duncan Laurence,Arcade (feat. FLETCHER),187453
207,2023-04-11 20:36,obi,Presja,168602
208,2023-04-11 20:33,Bryan,Travis,118378
209,2023-04-11 20:31,Veason,Skarbie,187384
210,2023-04-11 20:28,Bryan,Ile dałbym,127389
211,2023-04-11 20:26,Juice WRLD,Lucid Dreams,239835
212,2023-04-11 20:22,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,239000
213,2023-04-11 20:18,Robin Hustin,Light It Up,185390
214,2023-04-11 20:15,Alex & Sierra,Little Do You Know,185200
215,2023-04-11 20:12,Sasha Alex Sloan,Older,191001
216,2023-04-11 20:09,Doli,spadająca gwiazda,143227
217,2023-04-11 20:07,Bryan,Na zawsze,186812
218,2023-04-11 20:04,Cheriimoya,"Living Life, In The Night",122517
219,2023-04-11 20:02,Jacob Lee,Silhouette,301803
220,2023-04-11 19:57,The Walkers,Unity,204533
221,2023-04-11 19:54,John Mamann,Love Life - French Version,173104
222,2023-04-11 19:51,SAPPHIRE,Unity (Acoustic),180521
223,2023-04-11 19:48,sanah,Hymn (J. Słowacki),252000
224,2023-04-11 19:44,Jubël,4AM (feat. HOLT.),194195
225,2023-04-11 19:41,Białas,"Mali ludzie, wielkie nieba",239995
226,2023-04-11 19:37,Ola Olszewska,Czy To Nadal Ja,201461
227,2023-04-11 19:34,He Is We,I Wouldn't Mind,200059
228,2023-04-11 19:30,JP Saxe,If the World Was Ending (feat. Julia Michaels),208687
229,2023-04-11 19:27,Kacper HTA,Zbrodnia i kara,271926
230,2023-04-11 19:22,The Chainsmokers,Takeaway (feat. Lennon Stella) - Pilton Remix,213253
231,2023-04-11 19:19,sanah,najlepszy dzień w moim życiu,251500
232,2023-04-11 19:15,Sasha Alex Sloan,Dancing With Your Ghost,197732
233,2023-04-11 19:12,Aymi,W mojej bluzie,139019
234,2023-04-11 19:09,Jaymes Young,Infinity,237720
235,2023-04-11 19:06,Kygo,Stargazing,236853
236,2023-04-11 19:02,Ruth B.,Dandelions - slowed + reverb,268717
237,2023-04-11 18:57,Duncan Laurence,Arcade (feat. FLETCHER),187453
238,2023-04-11 18:54,obi,Presja,168602
239,2023-04-11 18:52,Bryan,Travis,118378
240,2023-04-11 18:50,Veason,Skarbie,187384
241,2023-04-11 18:47,Bryan,Ile dałbym,127389
242,2023-04-11 18:45,Juice WRLD,Lucid Dreams,239835
243,2023-04-11 18:41,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,239000
244,2023-04-11 18:37,The Walkers,Unity,45908
245,2023-04-11 18:36,Bryan,Travis,118378
246,2023-04-11 18:34,Ruth B.,Dandelions - slowed + reverb,268717
247,2023-04-11 18:30,Cheriimoya,"Living Life, In The Night",122517
248,2023-04-11 18:28,Duncan Laurence,Arcade (feat. FLETCHER),187453
249,2023-04-11 18:25,obi,Presja,168602
250,2023-04-11 18:22,Robin Hustin,Light It Up,185390
251,2023-04-11 18:19,sanah,najlepszy dzień w moim życiu,251500
252,2023-04-11 18:15,Ola Olszewska,Czy To Nadal Ja,201461
253,2023-04-11 18:12,sanah,Hymn (J. Słowacki),252000
254,2023-04-11 18:08,Jaymes Young,Infinity,237720
255,2023-04-11 18:04,SAPPHIRE,Unity (Acoustic),180521
256,2023-04-11 18:01,Kygo,Stargazing,236853
257,2023-04-11 17:57,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,239000
258,2023-04-11 17:53,Bryan,Ile dałbym,127389
259,2023-04-11 17:51,Jubël,4AM (feat. HOLT.),194195
260,2023-04-11 17:48,Sasha Alex Sloan,Dancing With Your Ghost,197732
261,2023-04-11 17:45,JP Saxe,If the World Was Ending (feat. Julia Michaels),208687
262,2023-04-11 17:41,The Chainsmokers,Takeaway (feat. Lennon Stella) - Pilton Remix,213253
263,2023-04-11 17:38,Kacper HTA,Zbrodnia i kara,271926
264,2023-04-11 17:34,Jacob Lee,Silhouette,301803
265,2023-04-11 17:29,Bryan,Na zawsze,186812
266,2023-04-11 17:26,Juice WRLD,Lucid Dreams,239835
267,2023-04-11 17:22,He Is We,I Wouldn't Mind,200059
268,2023-04-11 17:18,John Mamann,Love Life - French Version,173104
269,2023-04-11 17:16,Alex & Sierra,Little Do You Know,185200
270,2023-04-11 17:13,Aymi,W mojej bluzie,139019
271,2023-04-11 17:10,Doli,spadająca gwiazda,143227
272,2023-04-11 17:08,Veason,Skarbie,187384
273,2023-04-11 17:05,Sasha Alex Sloan,Older,191001
274,2023-04-11 17:02,Białas,"Mali ludzie, wielkie nieba",239995
275,2023-04-11 16:58,The Walkers,Unity,204533
276,2023-04-11 16:55,Bryan,Travis,118378
277,2023-04-11 16:53,Ruth B.,Dandelions - slowed + reverb,268717
278,2023-04-11 16:49,Cheriimoya,"Living Life, In The Night",122517
279,2023-04-11 16:47,Duncan Laurence,Arcade (feat. FLETCHER),187453
280,2023-04-11 16:44,obi,Presja,168602
281,2023-04-11 16:41,Robin Hustin,Light It Up,185390
282,2023-04-11 16:38,sanah,najlepszy dzień w moim życiu,251500
283,2023-04-11 16:34,Ola Olszewska,Czy To Nadal Ja,201461
284,2023-04-11 16:31,sanah,Hymn (J. Słowacki),252000
285,2023-04-11 16:26,Jaymes Young,Infinity,237720
286,2023-04-11 16:23,SAPPHIRE,Unity (Acoustic),180521
287,2023-04-11 16:20,Kygo,Stargazing,236853
288,2023-04-11 16:16,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,239000
289,2023-04-11 16:12,Bryan,Ile dałbym,127389
290,2023-04-11 16:10,Mauve,Lighthouse,73356
291,2023-04-11 16:09,sanah,kolońska i szlugi,235962
292,2023-04-11 16:05,Otaku,Marco and Gina,109216
293,2023-04-11 16:03,Sobel,Wygladasz Tak Pięknie,195877
294,2023-04-11 16:00,Øneheart,snowfall,124065
295,2023-04-11 15:58,Kina,Get You The Moon (feat. Snøw),179080
296,2023-04-11 15:55,Zach Diamond,3:00 Am,166285
297,2023-04-11 15:52,Qry,Deszcz,4280
298,2023-04-11 15:52,Vito Bambino,Mustang,6623
299,2023-04-11 15:52,Vito Bambino,Mustang,219060
300,2023-04-11 15:48,sanah,najlepszy dzień w moim życiu,10630
301,2023-04-11 15:48,will.i.am,Fall Down,245411
302,2023-04-11 15:44,Miley Cyrus,Girls Just Wanna Have Fun,186426
303,2023-04-11 15:41,Miley Cyrus,Midnight Sky,226960
304,2023-04-11 15:37,Miley Cyrus,FU (feat. French Montana),8933
305,2023-04-11 15:37,Miley Cyrus,River,6020
306,2023-04-11 15:37,Miley Cyrus,Wrecking Ball,221360
307,2023-04-11 15:33,Miley Cyrus,Flowers,7289
308,2023-04-11 15:33,Miley Cyrus,Flowers,200454
309,2023-04-11 15:30,Miley Cyrus,Flowers,200454
310,2023-04-11 15:27,Calibro 35,Ready Steady,158760
311,2023-04-11 15:27,Calibro 35,Ready Steady,16071
312,2023-04-11 15:24,Calibro 35,Ready Steady,158760
313,2023-04-11 15:22,Calibro 35,Ready Steady,158760
314,2023-04-11 15:19,ItaloBrothers,Stamp On The Ground,134319
315,2023-04-11 15:17,Caramella Girls,Caramelldansen,175333
316,2023-04-11 15:14,Lasgo,Lying - Radio Edit,183893
317,2023-04-11 15:11,Dave McCullen,Rave Heaven - German Radio Edit,185973
318,2023-04-11 15:08,Grubson,Na Szczycie,244948
319,2023-04-11 15:04,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",322226
320,2023-04-11 14:59,DJ Dean,If I Could Be You - Radio Mix,214573
321,2023-04-11 14:55,Jeden Osiem L,Jak zapomnieć,209040
322,2023-04-11 14:52,Pakito,You Wanna Rock,256373
323,2023-04-11 14:51,NF,Dreams,0
324,2023-04-11 14:51,NF,My Life,0
325,2023-04-11 14:48,Lasgo,Gone,178494
326,2023-04-11 14:45,Alex C.,Du hast den schönsten Arsch der Welt,1360
327,2023-04-11 14:45,SICK LEGEND,THE ONE THAT GOT AWAY HARDSTYLE SPED UP,18342
328,2023-04-11 14:44,SICK LEGEND,THE ONE THAT GOT AWAY HARDSTYLE SPED UP,215657
329,2023-04-11 14:41,SICK LEGEND,THE ONE THAT GOT AWAY HARDSTYLE SPED UP,215657
330,2023-04-11 14:37,Ummet Ozcan,Remember the Summer (Acoustic),18590
331,2023-04-11 14:37,urtzer,The One That Got Away,3230
332,2023-04-11 14:37,Alex C.,Doktorspiele - English Version,13940
333,2023-04-11 14:37,Böhse Onkelz,Nur die besten sterben jung,17600
334,2023-04-11 14:36,TWISTED,WORTH NOTHING - Fast & Furious: Drift Tape/Phonk Vol 1,21930
335,2023-04-11 14:36,Lost Sky,Fearless Pt. II,62410
336,2023-04-11 14:35,Robin Hustin,Light It Up,127390
337,2023-04-11 14:33,Eminem,25 To Life,221559
338,2023-04-11 14:29,Linkin Park,Numb,185586
339,2023-04-11 14:26,B.o.B,"Airplanes, Pt. II (feat. Eminem & Hayley Williams of Paramore)",319293
340,2023-04-11 14:21,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",322226
341,2023-04-11 14:16,Akon,Smack That,212360
342,2023-04-11 14:12,Fort Minor,Remember the Name (feat. Styles of Beyond),230493
343,2023-04-11 14:08,Central Cee,Doja,97392
344,2023-04-11 14:07,Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),235613
345,2023-04-11 14:03,Imagine Dragons,Radioactive,186813
346,2023-04-11 14:00,Eminem,Not Afraid,248133
