title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
Lucifer,series,85,"['Crime', 'Sci-Fi & Fantasy']",435.793,"['Tom Ellis', 'Lauren German', 'Kevin Alejandro', 'D.B. Woodside', 'Lesley-Ann Brandt', 'Aimee Garcia', 'Rachael Harris', 'Brianna Hildebrand']",,"['10/14/21', '10/14/21', '10/14/21', '10/14/21', '7/28/21', '7/26/21', '7/23/21', '7/22/21', '7/22/21', '7/22/21', '7/1/21', '6/30/21', '6/13/21', '6/13/21', '6/13/21', '6/13/21', '6/13/21', '6/13/21', '6/11/21', '6/11/21', '6/10/21', '6/4/21', '6/3/21', '5/29/21', '5/29/21', '5/28/21', '5/25/21', '5/24/21', '5/23/21', '5/23/21', '5/23/21', '5/21/21', '5/20/21', '5/19/21', '5/19/21', '5/18/21', '5/16/21', '5/16/21', '5/15/21', '5/15/21', '5/15/21', '5/15/21', '5/14/21', '5/14/21', '5/14/21', '5/12/21', '5/9/21', '5/9/21', '5/9/21', '5/7/21', '5/2/21', '5/2/21', '5/2/21', '5/2/21', '4/30/21', '4/30/21', '4/30/21', '4/26/21', '4/25/21', '4/25/21', '4/25/21', '4/24/21', '4/24/21', '4/24/21', '4/24/21', '4/23/21', '4/23/21', '4/21/21', '4/21/21', '4/19/21', '4/18/21', '4/18/21', '4/18/21', '4/18/21', '4/17/21', '4/17/21', '4/17/21', '4/17/21', '4/16/21', '4/12/21', '4/12/21', '4/11/21', '4/11/21', '4/11/21', '4/11/21']",63174.0,2016-01-25
Sons of Anarchy,series,92,"['Crime', 'Drama']",102.228,"['Charlie Hunnam', 'Katey Sagal', 'Tommy Flanagan', 'Mark Boone Junior', 'Kim Coates', 'Dayton Callie', 'David Labrava', 'Drea de Matteo', 'Jimmy Smits', 'Niko Nicotera']",,"['10/13/21', '10/13/21', '10/12/21', '10/12/21', '10/12/21', '10/12/21', '10/11/21', '10/11/21', '10/11/21', '10/11/21', '10/8/21', '10/6/21', '10/6/21', '10/5/21', '10/5/21', '10/5/21', '10/4/21', '10/3/21', '10/3/21', '10/3/21', '10/1/21', '10/1/21', '9/30/21', '9/30/21', '9/30/21', '9/28/21', '9/28/21', '9/28/21', '9/27/21', '9/27/21', '9/26/21', '9/26/21', '9/26/21', '9/25/21', '9/25/21', '9/25/21', '9/25/21', '9/25/21', '9/24/21', '9/24/21', '9/24/21', '9/21/21', '9/21/21', '9/21/21', '9/21/21', '9/20/21', '9/19/21', '9/19/21', '9/19/21', '9/19/21', '9/19/21', '9/18/21', '9/18/21', '9/17/21', '9/17/21', '9/17/21', '9/16/21', '9/16/21', '9/16/21', '9/16/21', '9/16/21', '9/16/21', '9/16/21', '9/15/21', '9/15/21', '9/14/21', '9/14/21', '9/13/21', '9/13/21', '9/13/21', '9/13/21', '9/13/21', '9/13/21', '9/13/21', '9/13/21', '9/13/21', '9/13/21', '9/12/21', '9/12/21', '9/12/21', '9/12/21', '9/12/21', '9/10/21', '9/10/21', '9/10/21', '9/10/21', '9/9/21', '9/9/21', '9/9/21', '9/9/21', '9/9/21', '9/8/21']",1409.0,2008-09-03
Age of Samurai,series,2,"['Documentary', 'War & Politics']",18.955,"['Elijah Bender', 'David Spafford', 'Nathan Ledbetter', 'David Eason', 'Oleg Benesch', 'Tomoko Kitagawa', 'Hiro Kanagawa', 'Masami Kosaka', 'Hayate Masao', 'Masayoshi Haneda']",,"['9/7/21', '9/7/21']",93736.0,2021-02-24
Marco Polo,series,21,"['Action & Adventure', 'Drama']",23.312,"['Lorenzo Richelmy', 'Benedict Wong', 'Joan Chen', 'Remy Hii', 'Zhu Zhu', 'Uli Latukefu', 'Mahesh Jadu', 'Tom Wu', 'Olivia Cheng', 'Rick Yune']",,"['9/6/21', '9/6/21', '9/6/21', '9/6/21', '9/5/21', '9/5/21', '9/3/21', '9/3/21', '9/2/21', '9/2/21', '9/1/21', '9/1/21', '9/1/21', '8/31/21', '8/31/21', '8/30/21', '8/30/21', '8/30/21', '8/29/21', '8/29/21', '8/26/21']",60699.0,2014-12-12
Roman Empire,series,2,"['Drama', 'Documentary']",26.28,['Sean Bean'],,"['8/24/21', '8/24/21']",68708.0,2016-11-11
Virgin River,series,30,['Drama'],33.785,"['Alexandra Breckenridge', 'Martin Henderson', 'Colin Lawrence', 'Benjamin Hollingsworth', 'Lauren Hammersley', 'Tim Matheson', 'Grayson Maxwell Gurnsey', 'Sarah Dugdale', ""Annette O'Toole"", 'Marco Grazzini']",,"['7/30/21', '7/30/21', '7/30/21', '7/29/21', '7/18/21', '7/17/21', '7/17/21', '7/17/21', '7/15/21', '7/10/21', '12/18/20', '12/17/20', '12/17/20', '12/17/20', '12/16/20', '12/16/20', '12/16/20', '12/16/20', '12/14/20', '12/14/20', '12/13/20', '12/13/20', '12/13/20', '12/13/20', '12/13/20', '12/13/20', '12/13/20', '12/12/20', '12/12/20', '12/12/20']",88324.0,2019-12-06
Lupin,series,9,"['Crime', 'Drama', 'Mystery']",55.719,['Omar Sy'],,"['7/9/21', '7/9/21', '7/9/21', '7/9/21', '7/8/21', '7/8/21', '7/8/21', '7/8/21', '7/5/21']",96677.0,2021-01-08
Minecraft,series,1,"['Action & Adventure', 'Comedy', 'Animation', 'Sci-Fi & Fantasy']",10.306,"['Patton Oswalt', 'Catherine Taber', 'Ashley Johnson', 'Paul Reubens', 'JB Blanc', 'Yuri Lowenthal', 'Fred Tatasciore']",,['4/16/21'],98545.0,2015-10-13
New Amsterdam,series,40,['Drama'],136.195,"['Ryan Eggold', 'Janet Montgomery', 'Jocko Sims', 'Tyler Labine', 'Sandra Mae Frank']",,"['4/12/21', '4/10/21', '4/10/21', '4/8/21', '4/7/21', '4/7/21', '4/6/21', '4/6/21', '4/5/21', '4/5/21', '4/3/21', '4/2/21', '4/1/21', '3/31/21', '3/30/21', '3/30/21', '3/30/21', '3/30/21', '3/30/21', '3/28/21', '3/27/21', '3/27/21', '3/22/21', '3/22/21', '3/21/21', '3/21/21', '3/21/21', '3/21/21', '3/15/21', '3/14/21', '3/14/21', '3/14/21', '3/2/21', '3/1/21', '2/28/21', '2/28/21', '2/28/21', '2/27/21', '2/26/21', '2/26/21']",80350.0,2018-09-25
Fate,series,1,"['Animation', 'Drama', 'Action & Adventure', 'Sci-Fi & Fantasy']",32.489,"['Shizuka Itoh', 'Naoko Takano', 'Kaori Nazuka', 'Mai Kadowaki', 'Noriaki Sugiyama', 'Kana Ueda', 'Miyu Matsuki']",,['1/28/21'],63576.0,2013-07-06
